Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-25 00:00:00-04:00,93.93328418748578,96.75804904865721,93.5023198403269,94.99419403076172,552136000,0.0,0.0
2024-03-26 00:00:00-04:00,95.84312895231521,96.36708800909649,92.49440486791595,92.55339813232422,513648000,0.0,0.0
2024-03-27 00:00:00-04:00,93.10434857198653,93.23233640651344,89.11567793176135,90.24258422851562,586067000,0.0,0.0
2024-03-28 00:00:00-04:00,89.99260584733342,91.2925020944131,89.1856729416275,90.34857940673828,435212000,0.0,0.0
2024-04-01 00:00:00-04:00,90.29158545747126,92.21742210832323,89.19667419209408,90.35557556152344,452441000,0.0,0.0
2024-04-02 00:00:00-04:00,88.440733403553,90.08660193279582,87.61280611034512,89.44465637207031,433064000,0.0,0.0
2024-04-03 00:00:00-04:00,88.47673163441857,90.36657574855839,88.39273890173536,88.9566879272461,370067000,0.0,0.0
2024-04-04 00:00:00-04:00,90.39857127799377,90.6265570027439,85.87294211737935,85.89794158935547,434965000,0.0,0.0
2024-04-05 00:00:00-04:00,86.85886603106233,88.47373893999085,85.91894838813401,88.00077819824219,399678000,0.0,0.0
2024-04-08 00:00:00-04:00,88.69271187648715,88.82270608179196,86.72487882107814,87.12584686279297,283220000,0.0,0.0
2024-04-09 00:00:00-04:00,87.43481840978946,87.62780334917471,83.01518332208828,85.34698486328125,503547000,0.0,0.0
2024-04-10 00:00:00-04:00,83.91910943857809,87.39282313331631,83.70212439294349,87.03185272216797,431929000,0.0,0.0
2024-04-11 00:00:00-04:00,87.41281450827279,90.73154201651745,86.91885943542384,90.60855102539062,431637000,0.0,0.0
2024-04-12 00:00:00-04:00,89.69163298094708,90.16759945387551,87.52281234301554,88.17875671386719,426805000,0.0,0.0
2024-04-15 00:00:00-04:00,89.09068034071944,90.60555527603537,85.92194194970466,85.99393463134766,443077000,0.0,0.0
2024-04-16 00:00:00-04:00,86.42590004731537,88.11075921963818,86.05693468586088,87.40782165527344,370453000,0.0,0.0
2024-04-17 00:00:00-04:00,88.33273802298255,88.76770746946335,83.94309933063248,84.0280990600586,495400000,0.0,0.0
2024-04-18 00:00:00-04:00,84.96301864167438,86.18291960634812,82.39522887879554,84.6640396118164,447260000,0.0,0.0
2024-04-19 00:00:00-04:00,83.14317481934737,84.31707440466721,75.59979547167349,76.19374084472656,875198000,0.0,0.0
2024-04-22 00:00:00-04:00,78.09758164616238,80.06642170334018,76.3937268431725,79.51146697998047,596341000,0.0,0.0
